NO_OF_SAMPLES	1561
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:28:43	103157.88783225
FIRST_SAMPLE	632
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	519.708008
FORCE_PLATE_CORNER_POSX_POSY_Y	471.890015
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	517.812012
FORCE_PLATE_CORNER_NEGX_POSY_Y	14.711200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	13.237100
FORCE_PLATE_CORNER_NEGX_NEGY_Y	18.357599
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.436701
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.112000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
677	6.76000	-0.596178	18.578478	286.531577	-37.240746	-12.857889	0.848220	44.525948	-132.928552	0.000000	
678	6.77000	-3.811996	19.466935	296.617403	-38.726209	-15.101739	0.383924	50.997152	-133.548918	0.000000	
679	6.78000	-5.648140	22.400383	318.972048	-41.773361	-18.656599	0.395053	58.768592	-134.136392	0.000000	
680	6.79000	-5.271615	25.130273	339.374606	-44.588195	-21.608336	0.708556	63.862628	-134.710742	0.000000	
681	6.80000	-7.498344	27.218709	351.797422	-46.237951	-23.192520	0.627200	66.349370	-134.894085	0.000000	
682	6.81000	-10.960345	28.555622	359.830075	-47.437601	-24.042738	0.272526	67.607534	-135.373762	0.000000	
683	6.82000	-11.664557	28.599657	362.869416	-47.843722	-24.474953	0.214829	68.306633	-135.366934	0.000000	
684	6.83000	-10.244647	29.327821	370.577399	-49.018355	-25.689484	0.607706	70.000511	-135.807302	0.000000	
685	6.84000	-7.591494	29.805764	377.489446	-50.022438	-26.657028	1.195254	70.991891	-136.037812	0.000000	
686	6.85000	-5.672415	29.578576	378.938294	-50.321924	-27.162144	1.650960	71.848541	-136.285308	0.000000	
687	6.86000	-4.462200	28.829042	380.204330	-50.693946	-27.775891	1.910943	73.094370	-136.732042	0.000000	
688	6.87000	-4.346438	27.419892	383.074890	-51.300514	-28.791400	1.925882	75.182216	-137.145900	0.000000	
