NO_OF_SAMPLES	143
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:13:24	102239.45178864
FIRST_SAMPLE	268
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1135.569946
FORCE_PLATE_CORNER_POSX_POSY_Y	564.732971
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1128.060059
FORCE_PLATE_CORNER_NEGX_POSY_Y	106.624001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	625.776978
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.992996
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	633.607971
FORCE_PLATE_CORNER_POSX_NEGY_Y	574.497986
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
268	2.67000	0.968267	1.151684	4.240928	0.465725	0.316415	0.165272	0.000000	0.000000	0.000000	
269	2.68000	0.989548	1.175294	3.891218	0.465927	0.289114	0.169834	0.000000	0.000000	0.000000	
270	2.69000	0.941952	1.062426	3.627675	0.475082	0.334896	0.160747	0.000000	0.000000	0.000000	
271	2.70000	0.967861	1.197405	4.066335	0.429375	0.297946	0.165277	0.000000	0.000000	0.000000	
272	2.71000	1.056644	1.152536	3.717153	0.447704	0.298170	0.169882	0.000000	0.000000	0.000000	
273	2.72000	1.013144	1.106743	4.155128	0.447680	0.270745	0.160438	0.000000	0.000000	0.000000	
274	2.73000	0.967481	1.106502	4.153369	0.474842	0.325622	0.165276	0.000000	0.000000	0.000000	
275	2.74000	0.943901	1.084761	3.978133	0.493305	0.298464	0.160550	0.000000	0.000000	0.000000	
276	2.75000	0.944004	1.107199	3.977832	0.484130	0.316640	0.160657	0.000000	0.000000	0.000000	
277	2.76000	0.965952	1.153073	3.715874	0.438789	0.298207	0.151471	0.000000	0.000000	0.000000	
278	2.77000	1.057213	1.107095	3.891901	0.475134	0.298438	0.155989	0.000000	0.000000	0.000000	
279	2.78000	0.920775	1.153729	3.715797	0.429934	0.261743	0.137501	0.000000	0.000000	0.000000	
280	2.79000	0.898710	1.107294	3.978760	0.429413	0.288806	0.165154	0.000000	0.000000	0.000000	
281	2.80000	0.989232	1.243107	3.716547	0.383886	0.306825	0.165432	0.000000	0.000000	0.000000	
282	2.81000	0.989128	1.221253	3.715279	0.475302	0.289342	0.156097	0.000000	0.000000	0.000000	
283	2.82000	0.921934	1.152186	4.065372	0.474788	0.316397	0.179108	0.000000	0.000000	0.000000	
284	2.83000	0.966125	1.244244	3.626818	0.493579	0.298615	0.156171	0.000000	0.000000	0.000000	
285	2.84000	1.058198	1.242874	3.891635	0.438637	0.298141	0.160747	0.000000	0.000000	0.000000	
286	2.85000	0.829640	1.062401	3.889159	0.493164	0.325723	0.169868	0.000000	0.000000	0.000000	
287	2.86000	1.011062	1.175641	3.629237	0.429585	0.288951	0.165281	0.000000	0.000000	0.000000	
288	2.87000	1.012201	1.175079	3.890696	0.475063	0.316631	0.160746	0.000000	0.000000	0.000000	
289	2.88000	0.851589	1.176466	3.538773	0.466067	0.316541	0.165406	0.000000	0.000000	0.000000	
290	2.89000	0.990301	1.220292	3.978543	0.447675	0.298118	0.165310	0.000000	0.000000	0.000000	
291	2.90000	0.943605	1.107429	3.890884	0.475001	0.298277	0.169800	0.000000	0.000000	0.000000	
292	2.91000	0.967295	1.197674	3.978372	0.474850	0.298165	0.183693	0.000000	0.000000	0.000000	
293	2.92000	1.057432	1.061737	3.981192	0.447741	0.252525	0.164940	0.000000	0.000000	0.000000	
294	2.93000	0.945015	1.174932	4.065986	0.438545	0.298039	0.160647	0.000000	0.000000	0.000000	
295	2.94000	0.966232	1.198532	3.715187	0.466139	0.298382	0.156115	0.000000	0.000000	0.000000	
296	2.95000	0.966923	1.084098	4.066826	0.465683	0.298098	0.178958	0.000000	0.000000	0.000000	
297	2.96000	0.967034	1.312063	3.713917	0.493570	0.298601	0.156229	0.000000	0.000000	0.000000	
298	2.97000	1.011953	1.107771	3.891316	0.493581	0.271265	0.146657	0.000000	0.000000	0.000000	
299	2.98000	0.965979	1.153181	3.716996	0.429580	0.261506	0.169726	0.000000	0.000000	0.000000	
300	2.99000	1.011260	1.175228	3.716065	0.465816	0.316459	0.179190	0.000000	0.000000	0.000000	
301	3.00000	0.944273	1.175849	3.889906	0.484436	0.289416	0.146812	0.000000	0.000000	0.000000	
302	3.01000	1.014002	1.220204	4.154462	0.447759	0.261636	0.160518	0.000000	0.000000	0.000000	
303	3.02000	0.966213	1.153945	3.715604	0.475640	0.253023	0.132846	0.000000	0.000000	0.000000	
