NO_OF_FRAMES	1561
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:28:43	103157.88783225
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
642	6.41000	-35.749	-109.360	1324.144	145.999	127.071	1193.224	234.218	241.488	864.746	182.408	211.586	605.707	-190.771	149.458	1200.545	-274.419	234.710	871.856	-225.336	192.842	604.548	171.969	487.018	883.121	157.625	364.590	488.730	154.845	386.741	75.179	106.747	440.358	33.981	179.090	280.166	26.972	100.910	184.616	31.332	-189.568	501.210	902.389	-191.600	360.360	497.735	-187.276	413.601	71.716	-138.442	461.531	32.906	-217.479	305.812	33.335	-144.666	202.729	31.427
643	6.42000	-36.749	-109.966	1321.795	144.387	126.009	1190.564	232.881	241.824	862.920	180.884	212.028	603.915	-192.150	148.209	1197.832	-275.760	233.857	869.520	-226.791	192.937	602.622	170.739	487.744	881.989	157.120	362.908	489.201	154.959	386.456	75.505	107.051	440.507	34.313	178.500	279.924	27.138	100.198	184.638	31.122	-190.488	501.927	902.625	-193.291	359.710	497.889	-187.179	413.685	71.242	-138.729	461.869	32.570	-217.672	305.846	33.206	-144.882	202.756	31.320
644	6.43000	-38.360	-110.428	1319.399	142.611	125.175	1187.792	231.483	242.012	860.554	179.775	212.106	601.476	-193.749	146.947	1195.145	-277.287	233.164	866.294	-227.822	192.501	600.030	169.615	488.147	880.911	155.990	361.100	489.375	155.181	386.177	75.784	107.699	440.435	34.785	177.878	279.612	27.429	99.468	184.838	30.749	-191.753	502.814	902.628	-195.100	359.555	497.825	-187.288	413.435	70.302	-138.123	462.050	31.870	-218.296	305.755	33.108	-145.057	202.780	31.187
645	6.44000	-39.863	-111.298	1316.936	140.877	123.883	1184.872	230.457	241.856	858.077	178.876	212.536	598.812	-195.296	145.707	1192.120	-279.045	232.825	863.401	-229.561	192.382	596.736	168.694	488.791	879.859	155.157	359.593	489.328	155.489	385.831	76.199	108.402	440.366	35.382	177.453	279.272	27.549	98.765	185.125	30.977	-192.910	503.758	902.333	-196.896	359.384	497.234	-187.669	413.550	69.936	-138.514	462.244	31.810	-219.047	305.654	32.916	-144.997	202.685	31.067
646	6.45000	-41.202	-112.029	1313.517	138.740	122.714	1181.303	229.327	241.871	855.317	178.174	213.111	596.164	-196.879	144.418	1188.878	-280.253	231.636	860.176	-230.532	192.692	593.190	167.886	489.395	878.905	154.751	357.887	489.387	155.782	385.507	76.648	109.167	440.286	36.037	177.220	278.985	27.566	98.350	185.132	30.877	-193.941	504.792	901.729	-198.487	359.136	496.608	-187.701	413.328	70.051	-138.127	461.811	31.913	-219.360	305.732	32.874	-145.309	202.837	31.236
647	6.46000	-43.107	-112.830	1310.382	137.201	121.662	1177.827	228.252	241.792	852.528	177.139	213.079	593.505	-198.352	142.900	1185.457	-281.803	231.075	857.168	-231.389	192.194	590.235	167.048	490.284	877.967	154.215	356.120	489.508	156.466	385.040	77.220	110.022	440.205	36.852	177.117	278.690	27.628	98.228	185.351	30.890	-195.206	505.689	901.086	-199.873	358.857	496.093	-188.098	413.427	70.035	-138.306	462.162	31.470	-219.441	305.972	32.663	-145.559	202.677	31.386
648	6.47000	-44.602	-113.743	1306.675	135.364	120.207	1173.993	226.910	240.936	849.257	176.309	213.730	590.115	-199.785	141.491	1181.783	-283.099	230.390	852.726	-232.470	191.864	587.107	166.402	491.268	877.102	153.955	354.723	489.862	157.468	384.673	78.092	110.905	440.113	37.711	177.101	278.468	27.635	97.909	185.532	31.192	-196.335	506.509	900.155	-201.005	358.509	495.761	-188.434	413.467	70.390	-138.174	462.079	31.581	-219.446	305.940	32.867	-145.799	202.739	31.368
649	6.48000	-46.003	-114.788	1302.769	134.000	118.938	1169.911	225.800	240.876	846.132	175.072	214.129	586.474	-201.161	139.829	1177.845	-284.445	229.628	849.693	-233.771	191.935	582.226	165.618	492.565	876.207	154.088	353.543	490.483	158.508	384.224	79.055	111.846	440.045	38.631	177.136	278.295	27.643	97.857	185.755	31.037	-197.341	507.458	899.113	-201.905	357.831	495.548	-188.687	413.485	70.232	-138.250	462.184	31.648	-219.381	305.991	32.788	-145.638	202.941	31.252
650	6.49000	-47.623	-115.862	1298.382	132.006	117.294	1165.507	225.031	240.123	842.450	174.907	214.404	582.943	-202.388	138.095	1173.695	-285.538	228.764	845.486	-234.255	191.666	578.927	164.781	493.746	875.468	153.679	352.239	490.925	159.130	383.737	79.804	113.219	440.194	39.699	177.359	278.118	27.626	97.591	186.121	31.162	-198.274	508.505	897.898	-202.718	356.997	495.430	-188.568	413.265	70.174	-138.053	462.289	31.583	-219.344	305.993	32.929	-145.992	202.982	31.284
651	6.50000	-49.233	-116.773	1294.095	130.341	115.957	1160.766	224.496	239.469	838.317	174.172	214.302	578.585	-203.580	136.542	1168.989	-286.935	228.416	841.445	-234.978	191.482	574.609	163.997	495.207	874.799	153.667	350.988	491.591	159.863	383.287	80.601	114.616	440.269	40.757	177.558	278.036	27.638	97.597	186.260	30.976	-199.078	509.317	896.800	-203.678	356.312	495.460	-188.230	413.166	69.925	-138.012	462.624	31.266	-219.300	306.100	33.041	-146.298	203.105	31.201
