NO_OF_FRAMES	143
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:13:24	102239.45178864
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
278	2.77000	-47.437	252.752	1666.796	-51.990	468.459	1390.401	-13.214	584.101	1047.295	102.479	555.955	819.167	-104.453	112.529	1353.855	-119.959	33.109	1008.070	-62.897	51.653	750.571	-70.686	490.594	859.428	-172.869	435.820	466.799	-338.149	403.341	85.034	-400.316	354.931	54.462	-245.711	429.237	28.037	-143.697	358.681	32.382	-65.679	135.305	875.366	107.933	158.017	491.941	213.464	177.253	74.644	192.043	236.915	21.751	321.790	141.869	77.988	412.594	181.717	126.667
279	2.78000	-37.279	250.315	1665.469	-42.510	466.804	1388.544	-4.456	581.733	1045.229	110.878	553.678	817.757	-94.002	110.718	1351.998	-108.274	31.758	1005.913	-50.526	50.704	748.121	-60.743	488.994	857.511	-164.256	434.869	466.084	-337.059	403.796	87.526	-399.892	355.476	57.611	-245.946	429.264	28.123	-143.082	358.900	32.591	-54.078	133.998	874.560	120.507	156.910	490.846	214.701	178.465	71.339	189.810	237.131	18.632	323.073	144.196	70.706	415.584	185.164	116.697
280	2.79000	-26.872	247.914	1663.807	-33.085	464.961	1387.127	4.014	579.315	1043.568	119.981	551.189	815.290	-83.435	108.683	1350.240	-96.153	30.058	1003.874	-38.866	49.557	745.971	-50.599	487.244	856.237	-155.251	434.399	466.062	-335.833	404.104	89.792	-398.995	355.518	61.675	-245.709	429.164	28.268	-143.456	358.706	32.862	-40.655	132.225	873.322	133.338	155.835	489.527	215.549	181.010	67.092	189.259	238.508	15.369	322.928	146.343	62.823	418.198	188.333	104.983
281	2.80000	-16.582	245.357	1662.597	-23.664	462.981	1385.689	12.423	576.702	1041.715	128.200	549.140	813.366	-73.031	106.579	1348.770	-84.575	27.947	1002.803	-27.008	48.092	744.389	-40.008	484.990	855.117	-145.812	433.254	464.522	-335.934	404.361	93.946	-398.135	356.130	65.912	-245.422	429.265	28.581	-143.894	358.467	33.074	-27.505	130.514	872.163	145.774	154.821	488.586	218.053	183.675	66.318	190.882	240.031	20.139	325.242	148.166	53.752	426.470	188.945	91.296
282	2.81000	-5.996	242.636	1662.044	-14.422	461.191	1384.703	20.183	573.836	1040.281	135.892	546.705	811.709	-62.234	104.490	1347.426	-72.844	25.796	1001.681	-14.804	46.078	743.488	-29.179	482.618	853.679	-135.978	431.785	464.113	-333.882	405.113	98.024	-396.778	357.430	71.132	-244.832	429.330	29.020	-143.418	358.522	33.027	-13.481	127.871	871.472	157.376	153.852	488.405	225.842	181.219	69.434	195.224	239.528	23.023	329.628	146.370	47.453	435.894	184.708	78.611
283	2.82000	4.404	240.006	1661.900	-5.540	459.523	1384.283	28.342	570.993	1038.701	143.740	544.502	809.682	-51.667	102.270	1346.734	-60.248	24.075	1000.125	-2.494	44.617	742.300	-18.471	480.545	853.071	-124.749	430.592	463.833	-331.837	405.368	102.940	-394.870	357.830	77.214	-244.349	429.094	29.591	-142.848	358.221	32.047	-0.648	125.439	871.818	170.074	152.075	490.026	235.611	178.398	67.894	199.963	236.373	25.289	337.877	146.340	43.305	442.836	182.970	69.688
284	2.83000	14.816	237.290	1662.117	3.645	457.811	1383.977	36.190	567.959	1037.842	150.372	542.474	808.818	-40.760	100.289	1346.396	-47.708	22.145	999.210	9.906	42.946	741.228	-6.932	478.184	852.433	-114.133	429.777	464.370	-328.624	405.097	107.061	-392.362	357.776	83.822	-243.855	428.720	30.691	-143.191	358.045	31.775	12.825	123.310	873.150	182.346	149.683	491.315	241.631	176.071	65.437	202.583	234.254	29.614	348.069	147.643	38.309	450.371	188.595	63.813
285	2.84000	25.323	234.605	1662.476	12.973	456.057	1384.025	43.603	564.880	1037.610	157.399	540.420	807.943	-30.008	98.298	1346.377	-35.366	20.197	1000.033	22.123	40.987	741.934	5.281	476.054	851.974	-101.059	428.575	463.867	-323.094	405.532	110.871	-389.598	357.622	91.252	-243.274	428.713	32.139	-143.263	357.768	32.023	25.349	121.228	875.532	193.869	147.856	492.208	246.384	174.138	66.768	203.330	231.624	31.903	353.733	147.281	33.791	456.330	195.554	52.842
286	2.85000	35.781	232.110	1663.072	22.061	454.332	1384.594	50.853	561.611	1037.555	163.772	538.018	806.920	-19.274	96.132	1346.853	-22.570	18.521	999.724	34.896	39.454	741.696	18.001	473.462	851.873	-86.968	427.494	463.062	-319.830	407.029	115.704	-385.700	357.726	99.861	-242.680	428.670	33.319	-142.462	357.649	32.087	37.618	118.903	877.370	206.521	145.892	492.739	249.092	173.520	66.200	203.446	230.571	32.778	353.041	144.557	31.038	460.151	200.689	40.987
287	2.86000	46.104	229.469	1663.668	31.224	452.454	1385.540	58.090	558.566	1037.608	169.703	535.756	806.399	-8.359	94.067	1347.454	-9.977	16.312	1000.897	47.349	37.267	742.834	30.497	470.707	851.708	-72.561	426.532	464.158	-313.859	405.910	123.508	-380.619	357.511	109.142	-241.624	428.674	34.881	-142.435	357.357	31.858	50.423	116.682	878.511	219.352	143.809	492.364	249.757	174.233	65.255	204.460	230.647	32.714	353.324	143.971	30.828	460.737	201.195	31.911
288	2.87000	56.186	226.960	1664.883	40.325	450.637	1386.583	65.311	555.485	1038.115	175.249	533.468	805.779	2.510	92.024	1348.360	2.639	14.458	1002.115	60.080	35.313	743.554	43.257	468.076	851.514	-56.708	425.658	462.975	-307.303	406.301	130.308	-374.272	357.711	119.341	-239.993	428.729	36.726	-142.240	357.279	31.716	62.575	114.233	880.274	231.177	142.804	492.626	249.082	174.676	66.724	205.527	230.639	32.122	353.279	143.531	30.489	461.427	197.735	30.058
289	2.88000	66.945	224.338	1666.320	49.732	448.906	1387.980	71.982	552.335	1038.863	180.621	531.359	805.705	13.424	89.994	1349.617	15.099	12.125	1002.900	73.217	33.342	745.003	55.980	465.625	851.776	-38.844	424.835	463.523	-299.405	407.330	137.152	-366.662	357.905	130.610	-237.069	428.238	39.038	-142.469	356.741	31.794	74.304	111.915	881.892	242.331	142.200	493.542	250.382	174.400	67.170	204.866	230.456	32.833	353.387	143.043	30.060	460.362	199.083	31.964
