NO_OF_FRAMES	442
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:14:55	102329.79542777
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
11	0.10000	335.955	198.974	1676.941	191.029	426.154	1423.237	163.549	533.666	1079.487	241.574	555.697	828.716	173.064	69.060	1399.921	146.978	-14.491	1059.007	230.810	-40.400	803.008	229.670	431.980	892.282	193.288	412.096	486.757	184.699	425.334	75.059	138.772	372.398	33.832	285.215	467.481	25.749	391.214	407.068	31.140	226.268	76.871	911.069	207.266	92.538	492.620	168.838	98.264	69.487	128.323	153.078	33.660	271.722	53.755	30.713	384.114	105.793	30.536
12	0.11000	336.599	199.609	1676.847	191.107	426.098	1423.288	163.640	533.651	1079.565	241.755	555.611	828.809	173.154	69.036	1399.922	146.868	-14.561	1059.097	230.928	-40.081	802.832	229.782	432.061	892.281	193.404	412.157	486.761	184.701	425.368	75.053	138.733	372.397	33.881	285.228	467.512	25.780	391.379	407.261	31.261	226.247	76.879	911.124	207.288	92.606	492.568	168.856	98.139	69.372	128.170	153.081	33.692	271.791	53.629	30.588	383.753	105.630	30.222
13	0.12000	337.163	200.218	1676.700	191.139	426.087	1423.336	163.798	533.626	1079.525	242.084	555.747	828.899	173.238	68.954	1399.888	147.032	-14.493	1059.076	231.083	-39.852	802.820	229.871	432.215	892.347	193.431	412.194	486.760	184.737	425.353	75.057	138.773	372.411	33.904	285.200	467.551	25.824	391.630	407.067	31.451	226.331	76.910	911.072	207.275	92.631	492.561	168.741	98.252	69.456	127.967	153.140	33.794	271.849	53.764	30.698	384.013	105.570	30.602
14	0.13000	337.760	200.894	1676.593	191.157	426.018	1423.383	163.906	533.666	1079.563	242.320	555.689	828.837	173.310	68.913	1399.874	147.505	-14.283	1058.876	231.009	-39.487	802.735	229.962	432.317	892.342	193.468	412.185	486.780	184.705	425.338	75.019	138.786	372.310	33.804	285.230	467.464	25.795	391.419	407.038	31.379	226.282	76.985	911.018	207.216	92.686	492.527	168.675	98.279	69.504	128.461	153.233	33.465	271.808	53.636	30.652	384.345	105.653	30.724
15	0.14000	338.200	201.539	1676.439	191.248	425.930	1423.422	164.054	533.630	1079.672	242.545	555.914	828.992	173.392	68.849	1399.854	147.618	-14.324	1058.964	231.461	-39.289	802.559	229.989	432.342	892.359	193.516	412.188	486.845	184.735	425.255	75.053	138.802	372.445	33.846	285.302	467.456	25.724	391.414	407.113	31.201	226.292	77.066	910.965	207.185	92.680	492.630	168.987	98.294	69.483	127.944	153.195	33.830	271.954	53.703	30.687	382.241	106.217	28.952
16	0.15000	338.628	202.197	1676.341	191.263	425.876	1423.449	164.277	533.688	1079.735	242.855	556.009	829.116	173.560	68.779	1399.859	147.786	-14.213	1058.946	231.544	-38.973	802.523	230.067	432.346	892.383	193.636	412.330	486.812	184.765	425.299	74.991	138.755	372.366	33.842	285.295	467.447	25.722	391.504	406.922	31.351	226.359	77.120	911.001	207.187	92.668	492.565	168.633	98.102	69.480	128.231	153.212	33.685	271.687	53.775	30.674	383.848	105.582	30.374
17	0.16000	338.924	202.922	1676.287	191.328	425.803	1423.481	164.411	533.711	1079.794	243.111	556.079	829.247	173.753	68.668	1399.848	147.853	-14.152	1058.894	231.373	-38.878	802.571	230.067	432.471	892.346	193.480	412.268	486.703	184.742	425.391	75.023	138.837	372.379	33.828	285.240	467.496	25.792	391.493	407.027	31.404	226.230	77.168	911.003	207.232	92.803	492.561	168.719	98.251	69.531	128.236	153.353	33.746	271.851	53.620	30.579	384.213	105.596	30.454
18	0.17000	339.332	203.586	1676.343	191.381	425.775	1423.592	164.506	533.774	1079.789	243.499	556.208	829.391	173.847	68.680	1399.866	148.010	-14.016	1058.750	231.487	-38.687	802.500	230.167	432.519	892.376	193.646	412.371	486.754	184.757	425.291	75.056	138.816	372.394	33.830	285.156	467.508	25.724	391.632	407.045	31.411	226.290	77.222	910.981	207.224	92.821	492.611	168.971	98.362	69.341	128.121	153.148	33.786	271.785	53.717	30.648	384.126	105.511	30.630
19	0.18000	339.641	204.274	1676.253	191.361	425.723	1423.603	164.633	533.790	1079.872	243.850	556.280	829.340	174.073	68.577	1399.863	148.045	-14.126	1058.875	231.714	-38.469	802.351	230.230	432.591	892.390	193.499	412.350	486.754	184.626	425.343	75.082	138.793	372.410	33.895	285.229	467.496	25.749	391.672	406.707	31.291	226.337	77.326	911.009	207.198	92.862	492.572	168.680	98.031	69.670	128.479	153.310	33.608	271.795	53.659	30.503	382.077	105.983	28.961
20	0.19000	339.942	204.959	1676.145	191.401	425.619	1423.660	164.792	533.848	1079.992	244.096	556.354	829.509	174.239	68.533	1399.901	148.398	-13.866	1058.684	231.931	-38.315	802.475	230.236	432.640	892.408	193.583	412.437	486.810	184.662	425.393	75.069	138.863	372.429	33.766	285.145	467.426	25.743	390.939	407.250	30.996	226.399	77.407	911.008	207.337	92.882	492.597	168.770	98.211	69.387	128.102	153.229	33.714	271.777	53.770	30.534	384.815	105.528	30.892
21	0.20000	340.311	205.665	1676.117	191.476	425.589	1423.752	164.969	533.891	1079.984	244.110	556.332	829.581	174.462	68.493	1399.896	148.464	-13.805	1058.659	232.331	-37.986	802.321	230.256	432.683	892.379	193.610	412.472	486.884	184.737	425.383	75.006	138.822	372.357	33.821	285.188	467.500	25.712	391.591	407.132	31.414	226.460	77.490	910.847	207.339	92.907	492.605	168.866	98.340	69.519	128.442	153.327	33.461	271.970	53.802	30.657	384.679	105.584	30.946
22	0.21000	340.700	206.379	1675.989	191.519	425.531	1423.795	164.937	533.888	1080.109	244.542	556.483	829.600	174.650	68.427	1399.972	148.635	-13.755	1058.669	232.213	-37.951	802.399	230.345	432.751	892.402	193.561	412.508	486.848	184.795	425.373	75.002	138.767	372.334	33.828	285.228	467.551	25.809	391.552	407.013	31.645	226.544	77.540	910.898	207.308	93.002	492.609	168.791	98.201	69.436	128.392	153.186	33.604	271.904	53.624	30.651	384.272	105.642	30.615
23	0.22000	341.102	207.079	1675.879	191.554	425.501	1423.937	165.346	533.993	1080.108	244.891	556.613	829.633	174.779	68.424	1399.985	148.781	-13.752	1058.711	231.908	-37.970	802.377	230.305	432.800	892.418	193.578	412.480	486.812	184.762	425.393	75.025	138.801	372.395	33.832	285.129	467.501	25.735	391.729	406.944	31.635	226.622	77.618	910.900	207.351	93.011	492.574	168.861	98.201	69.431	128.243	153.099	33.740	271.792	53.763	30.582	381.867	106.051	28.699
24	0.23000	341.504	208.029	1675.740	191.630	425.392	1423.957	165.539	534.066	1080.194	245.108	556.665	829.769	174.900	68.418	1400.013	148.918	-13.792	1058.682	232.238	-37.756	802.332	230.405	432.817	892.428	193.664	412.567	486.870	184.699	425.342	75.031	138.800	372.369	33.889	285.206	467.499	25.795	391.639	406.951	31.589	226.828	77.668	910.908	207.304	93.044	492.647	168.657	98.225	69.330	128.101	153.226	33.741	271.807	53.738	30.618	382.127	105.896	29.414
25	0.24000	342.041	208.842	1675.682	191.665	425.398	1424.049	165.610	534.082	1080.299	245.332	556.795	829.795	175.044	68.370	1399.958	148.915	-13.889	1058.839	232.590	-37.589	802.151	230.360	432.959	892.465	193.675	412.644	486.944	184.706	425.374	75.050	138.791	372.321	33.843	285.160	467.552	25.772	391.397	407.170	31.273	226.929	77.776	910.869	207.397	93.064	492.641	168.634	98.130	69.688	127.989	152.992	33.838	271.845	53.776	30.646	384.565	105.412	30.916
26	0.25000	342.349	209.763	1675.482	191.712	425.302	1424.063	165.797	534.299	1080.378	245.483	556.810	829.916	175.113	68.356	1399.985	149.064	-13.841	1058.774	232.569	-37.603	802.363	230.304	432.956	892.449	193.480	412.479	486.737	184.724	425.341	75.059	138.788	372.315	33.866	285.182	467.528	25.755	391.615	407.003	31.223	227.059	77.838	910.817	207.407	93.138	492.569	168.845	98.195	69.478	128.002	152.981	33.837	271.774	53.765	30.537	384.802	105.568	31.021
27	0.26000	342.748	210.554	1675.393	191.685	425.301	1424.184	165.977	534.470	1080.604	245.703	557.025	830.022	175.181	68.357	1399.925	149.520	-13.929	1058.837	232.566	-37.435	802.099	230.328	433.039	892.442	193.551	412.598	486.799	184.683	425.264	75.067	138.878	372.330	33.779	285.126	467.462	25.745	391.858	406.987	31.577	227.263	77.854	910.821	207.548	93.103	492.634	168.694	98.301	69.333	128.184	153.269	33.733	271.750	53.748	30.490	382.038	105.980	28.945
28	0.27000	343.259	211.422	1675.194	191.692	425.223	1424.268	166.156	534.550	1080.661	245.877	557.022	830.225	175.111	68.317	1399.944	149.649	-13.887	1058.715	232.994	-37.347	802.341	230.334	433.103	892.531	193.491	412.630	486.823	184.681	425.366	75.040	138.807	372.297	33.845	285.064	467.481	25.706	391.515	407.191	31.302	227.477	77.986	910.770	207.517	93.170	492.578	168.951	98.379	69.610	128.065	153.129	33.821	271.742	53.740	30.532	382.106	105.898	29.343
29	0.28000	343.561	212.347	1674.965	191.733	425.181	1424.293	166.408	534.768	1080.808	245.989	557.100	830.432	175.134	68.326	1399.902	149.680	-13.990	1058.757	233.052	-37.401	802.220	230.359	433.177	892.509	193.721	412.768	487.005	184.734	425.348	75.013	138.771	372.273	33.828	285.228	467.544	25.720	391.310	407.177	31.422	227.664	78.034	910.709	207.587	93.264	492.591	168.918	98.272	69.542	128.263	153.121	33.749	271.855	53.748	30.493	382.196	106.062	29.061
30	0.29000	344.043	213.163	1674.800	191.682	425.134	1424.410	166.603	534.917	1080.913	246.442	557.312	830.436	175.152	68.327	1399.850	149.866	-14.056	1058.711	233.251	-37.451	801.995	230.453	433.135	892.496	193.579	412.647	486.848	184.766	425.371	75.017	138.809	372.205	33.812	285.168	467.572	25.760	391.433	407.251	31.524	227.847	78.055	910.730	207.665	93.345	492.631	168.727	98.319	69.697	128.515	153.323	33.553	271.830	53.694	30.643	382.081	105.984	28.907
31	0.30000	344.486	213.944	1674.672	191.725	425.061	1424.453	166.825	534.973	1081.017	246.354	557.364	830.659	175.185	68.245	1399.804	149.935	-14.002	1058.370	233.411	-37.235	802.204	230.410	433.311	892.541	193.426	412.705	486.917	184.672	425.356	75.004	138.745	372.281	33.852	285.153	467.566	25.753	391.301	407.339	31.484	228.068	78.168	910.684	207.708	93.388	492.567	168.475	98.248	69.902	128.163	153.273	33.743	271.810	53.745	30.614	382.569	106.087	29.032
32	0.31000	344.598	214.750	1674.381	191.704	425.057	1424.560	167.009	535.139	1081.151	246.615	557.540	830.851	175.176	68.194	1399.762	149.915	-14.055	1058.584	233.749	-37.151	802.080	230.455	433.318	892.586	193.581	412.785	486.852	184.705	425.332	74.979	138.790	372.303	33.794	285.124	467.481	25.743	391.379	407.196	31.101	228.332	78.227	910.658	207.817	93.434	492.600	168.401	98.283	69.872	128.174	153.068	33.772	271.845	53.705	30.609	382.393	106.223	29.000
33	0.32000	344.857	215.723	1674.267	191.696	424.967	1424.642	167.104	535.253	1081.181	246.846	557.695	831.072	175.237	68.204	1399.722	149.898	-14.042	1058.485	233.824	-37.287	802.175	230.335	433.492	892.545	193.592	412.780	486.869	184.711	425.350	75.029	138.782	372.272	33.845	285.180	467.546	25.718	390.879	407.235	30.934	228.517	78.313	910.611	207.962	93.496	492.582	168.690	98.186	69.906	128.237	153.117	33.755	271.903	53.804	30.608	382.113	105.989	28.836
34	0.33000	345.113	216.567	1674.127	191.624	424.910	1424.738	167.261	535.314	1081.341	247.128	557.848	831.222	175.245	68.112	1399.711	150.239	-13.993	1058.543	234.055	-37.411	802.138	230.369	433.567	892.565	193.567	412.900	486.800	184.579	425.339	75.035	138.781	372.306	33.865	285.159	467.620	25.677	391.544	407.276	31.378	228.824	78.431	910.535	208.071	93.581	492.602	168.671	98.190	69.686	128.096	153.146	33.811	271.906	53.711	30.612	381.724	106.179	29.062
35	0.34000	345.032	217.499	1674.000	191.663	424.832	1424.832	167.384	535.543	1081.565	247.434	558.034	831.394	175.404	68.064	1399.590	150.407	-14.044	1058.301	234.321	-37.502	802.092	230.386	433.688	892.584	193.509	412.954	486.921	184.693	425.370	74.976	138.790	372.198	33.858	285.179	467.552	25.727	391.409	407.165	31.628	229.020	78.507	910.583	208.144	93.626	492.615	168.679	98.230	69.914	128.174	153.288	33.676	271.877	53.765	30.599	382.235	106.066	29.022
36	0.35000	344.792	218.275	1673.899	191.668	424.875	1424.917	167.588	535.695	1081.648	247.505	558.283	831.531	175.495	68.070	1399.543	150.500	-14.193	1058.265	234.445	-37.526	802.148	230.460	433.796	892.607	193.752	412.949	486.815	184.651	425.381	75.025	138.788	372.282	33.853	285.073	467.484	25.698	391.335	407.237	31.296	229.286	78.582	910.589	208.300	93.535	492.678	168.322	98.078	69.818	128.390	153.147	33.729	271.922	53.657	30.561	382.064	106.062	28.768
37	0.36000	344.735	218.930	1673.975	191.697	424.896	1425.066	167.671	535.878	1081.814	247.714	558.516	831.814	175.665	68.038	1399.558	150.710	-14.130	1058.249	234.640	-37.537	802.119	230.439	433.829	892.589	193.717	412.982	486.874	184.662	425.301	74.987	138.778	372.302	33.893	285.125	467.614	25.767	391.488	407.195	31.458	229.421	78.661	910.615	208.473	93.728	492.692	168.383	98.234	70.123	128.128	153.180	33.852	271.935	53.732	30.536	381.982	106.054	28.815
38	0.37000	344.645	219.495	1674.194	191.681	424.931	1425.122	167.863	536.105	1081.884	247.810	558.651	831.786	175.798	68.055	1399.577	150.706	-14.229	1058.316	234.803	-37.504	802.165	230.481	434.009	892.577	193.698	413.073	486.783	184.565	425.343	75.017	138.815	372.305	33.878	285.132	467.659	25.677	391.411	407.306	31.209	229.555	78.815	910.531	208.652	93.769	492.629	168.819	98.113	70.035	128.148	153.193	33.859	271.908	53.808	30.641	382.110	106.065	28.793
39	0.38000	344.391	220.051	1674.518	191.742	424.975	1425.211	167.895	536.189	1082.035	247.986	558.924	832.031	176.046	68.060	1399.602	150.972	-14.220	1058.456	234.939	-37.445	802.176	230.429	434.134	892.624	193.830	413.118	486.957	184.577	425.270	75.012	138.824	372.336	33.897	285.227	467.574	25.751	391.520	407.228	31.251	229.664	78.967	910.522	208.893	93.720	492.706	168.589	98.213	69.977	128.302	153.229	33.805	271.802	53.814	30.548	382.181	106.046	29.285
40	0.39000	343.910	220.513	1674.988	191.804	424.978	1425.251	168.000	536.298	1082.084	248.013	559.069	832.038	176.545	67.988	1399.622	151.287	-14.300	1058.483	235.192	-37.505	802.256	230.515	434.236	892.620	193.811	413.270	486.904	184.673	425.289	75.029	138.806	372.298	33.848	285.241	467.606	25.699	391.537	407.292	31.057	229.806	79.033	910.558	208.760	93.956	492.703	168.721	98.325	70.067	128.658	153.276	33.587	271.898	53.717	30.562	382.639	106.089	29.099
41	0.40000	343.207	221.156	1675.484	191.856	425.028	1425.308	167.980	536.420	1082.227	248.158	559.146	832.275	176.895	67.959	1399.634	151.637	-14.141	1058.514	235.429	-37.338	802.164	230.527	434.322	892.588	193.793	413.292	486.909	184.637	425.341	75.004	138.755	372.283	33.881	285.133	467.651	25.719	391.755	407.180	31.678	229.937	79.195	910.570	208.989	93.950	492.668	168.664	98.298	69.884	128.833	153.291	33.584	271.971	53.747	30.620	382.280	106.007	28.724
42	0.41000	342.524	221.756	1676.115	191.893	425.117	1425.408	168.052	536.612	1082.274	248.325	559.583	832.236	177.309	67.984	1399.664	151.950	-14.300	1058.493	235.500	-37.212	802.265	230.635	434.439	892.659	193.811	413.336	486.969	184.560	425.384	74.977	138.853	372.323	33.839	285.234	467.626	25.690	391.009	407.921	30.938	230.033	79.300	910.533	209.129	94.056	492.663	168.556	98.176	70.076	128.466	153.261	33.592	272.181	53.822	30.521	382.173	106.074	28.743
43	0.42000	341.913	222.287	1676.936	191.975	425.210	1425.408	168.176	536.740	1082.348	248.063	559.420	832.418	177.526	67.988	1399.699	152.191	-14.305	1058.528	235.672	-37.134	802.322	230.658	434.592	892.666	193.869	413.394	486.959	184.582	425.371	74.988	138.816	372.252	33.837	285.172	467.618	25.687	391.431	407.200	31.292	230.102	79.440	910.586	209.403	94.069	492.705	168.631	98.198	70.017	128.280	153.062	33.767	272.020	53.789	30.767	382.860	106.025	29.281
44	0.43000	340.999	222.756	1677.723	192.025	425.237	1425.464	168.190	536.861	1082.463	248.027	559.597	832.622	178.036	68.029	1399.753	152.109	-14.246	1058.765	235.652	-37.106	802.485	230.746	434.696	892.638	193.821	413.523	486.941	184.451	425.367	74.990	138.867	372.314	33.888	285.108	467.582	25.736	391.453	407.256	31.484	230.225	79.558	910.620	209.497	94.081	492.669	168.702	98.187	70.100	128.728	153.355	33.516	271.712	53.878	30.688	382.232	106.072	28.942
